,Modulus of elasticity - inner (GPa),Modulus of elasticity - Outer (GPa),Axial load (kN),Friction Coefficient,Total number of snaking,Global snaking length (m),Maximum snaking amplitude (m),Image file name
209,0.1,0.15,14,5.0,8,42.51,3.35796,Snaking_E1_0_E2_4_Fric_1_load_4.tif
210,0.1,0.15,6,10.0,4,6.87,0.40165700000000004,Snaking_E1_0_E2_4_Fric_2_load_0.tif
211,0.1,0.15,8,10.0,10,29.01,1.72186,Snaking_E1_0_E2_4_Fric_2_load_1.tif
212,0.1,0.15,10,10.0,7,37.84,2.30037,Snaking_E1_0_E2_4_Fric_2_load_2.tif
213,0.1,0.15,12,10.0,11,40.16,2.49463,Snaking_E1_0_E2_4_Fric_2_load_3.tif
214,0.1,0.15,14,10.0,11,42.61,3.17233,Snaking_E1_0_E2_4_Fric_2_load_4.tif
215,0.1,0.15,6,15.0,4,6.9,0.41036000000000006,Snaking_E1_0_E2_4_Fric_3_load_0.tif
216,0.1,0.15,8,15.0,10,29.97,2.08608,Snaking_E1_0_E2_4_Fric_3_load_1.tif
217,0.1,0.15,10,15.0,6,33.45,2.6418,Snaking_E1_0_E2_4_Fric_3_load_2.tif
218,0.1,0.15,12,15.0,7,41.69,2.44144,Snaking_E1_0_E2_4_Fric_3_load_3.tif
219,0.1,0.15,14,15.0,10,42.82,4.01082,Snaking_E1_0_E2_4_Fric_3_load_4.tif
220,0.1,0.15,6,20.0,5,9.9,0.44087299999999996,Snaking_E1_0_E2_4_Fric_4_load_0.tif
221,0.1,0.15,8,20.0,8,31.09,2.2395,Snaking_E1_0_E2_4_Fric_4_load_1.tif
222,0.1,0.15,10,20.0,9,35.37,2.54643,Snaking_E1_0_E2_4_Fric_4_load_2.tif
223,0.1,0.15,12,20.0,5,23.52,2.65319,Snaking_E1_0_E2_4_Fric_4_load_3.tif
224,0.1,0.15,14,20.0,8,35.41,2.8683400000000003,Snaking_E1_0_E2_4_Fric_4_load_4.tif
225,0.1,0.15,6,25.0,5,8.85,0.39148299999999997,Snaking_E1_0_E2_4_Fric_5_load_0.tif
226,0.1,0.15,8,25.0,9,26.9,1.64935,Snaking_E1_0_E2_4_Fric_5_load_1.tif
227,0.1,0.15,10,25.0,10,34.38,2.44619,Snaking_E1_0_E2_4_Fric_5_load_2.tif
228,0.1,0.15,12,25.0,7,41.65,2.6692099999999996,Snaking_E1_0_E2_4_Fric_5_load_3.tif
229,0.1,0.15,14,25.0,8,48.34,3.9713300000000005,Snaking_E1_0_E2_4_Fric_5_load_4.tif
230,0.1,0.15,6,30.0,4,6.88,0.397441,Snaking_E1_0_E2_4_Fric_6_load_0.tif
231,0.1,0.15,8,30.0,10,29.49,1.33857,Snaking_E1_0_E2_4_Fric_6_load_1.tif
232,0.1,0.15,10,30.0,9,34.82,2.8967099999999997,Snaking_E1_0_E2_4_Fric_6_load_2.tif
233,0.1,0.15,12,30.0,6,42.04,3.35468,Snaking_E1_0_E2_4_Fric_6_load_3.tif
234,0.1,0.15,14,30.0,8,43.75,4.5122800000000005,Snaking_E1_0_E2_4_Fric_6_load_4.tif
235,0.1,0.15,6,35.0,5,9.35,0.394781,Snaking_E1_0_E2_4_Fric_7_load_0.tif
236,0.1,0.15,8,35.0,9,25.97,1.27193,Snaking_E1_0_E2_4_Fric_7_load_1.tif
237,0.1,0.15,10,35.0,8,37.84,2.2347200000000003,Snaking_E1_0_E2_4_Fric_7_load_2.tif
238,0.1,0.15,12,35.0,8,42.13,2.38309,Snaking_E1_0_E2_4_Fric_7_load_3.tif
